Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
48,No,Travel_Rarely,170,Sales,1,3,Medical,1,1879,1,Female,64,2,1,Research Scientist,1,Married,1875,21905,0,Y,No,13,3,3,80,1,21,1,3,7,1,14,0
33,No,Travel_Rarely,234,Research & Development,8,4,Life Sciences,1,839,3,Female,98,3,2,Manufacturing Director,3,Divorced,2488,23191,4,Y,No,12,3,3,80,0,19,3,4,33,2,0,4
21,Yes,Travel_Rarely,128,Sales,6,3,Human Resources,1,688,3,Male,36,3,5,Sales Executive,4,Single,2649,25604,0,Y,Yes,12,4,3,80,2,7,2,3,3,4,2,1
40,No,Travel_Rarely,1120,Sales,28,3,Other,1,917,2,Male,59,3,1,Laboratory Technician,4,Divorced,1710,4185,1,Y,No,11,4,3,80,0,4,1,4,3,2,3,7
34,No,Travel_Rarely,270,Sales,1,3,Life Sciences,1,195,2,Male,77,3,1,Laboratory Technician,2,Married,3816,14509,1,Y,No,19,3,3,80,1,4,2,3,15,0,1,5
34,No,Travel_Rarely,445,Research & Development,22,2,Life Sciences,1,2008,4,Male,95,3,1,Laboratory Technician,4,Single,18953,5268,1,Y,No,14,3,3,80,1,13,2,3,3,6,5,1
49,No,Non-Travel,697,Research & Development,5,3,Other,1,1424,4,Male,73,3,1,Research Director,2,Married,1652,10199,1,Y,Yes,11,3,1,80,3,19,2,3,3,5,1,2
31,No,Travel_Rarely,1205,Research & Development,1,3,Medical,1,1353,4,Male,69,4,1,Research Scientist,3,Single,3639,11510,2,Y,No,22,3,2,80,0,24,3,3,8,7,2,4
42,No,Non-Travel,922,Human Resources,11,3,Life Sciences,1,497,4,Male,83,3,1,Research Scientist,2,Divorced,3529,2959,2,Y,No,22,3,3,80,1,12,0,3,3,2,4,0
24,No,Travel_Rarely,982,Research & Development,3,3,Life Sciences,1,1800,2,Male,83,4,4,Research Scientist,3,Single,6073,20830,7,Y,Yes,19,3,3,80,2,20,3,3,7,9,0,4
43,Yes,Non-Travel,1349,Research & Development,6,3,Medical,1,1631,4,Female,92,2,1,Sales Executive,1,Married,2370,14476,1,Y,Yes,13,3,4,80,0,11,4,4,2,3,1,0
50,No,Travel_Frequently,747,Research & Development,7,4,Medical,1,705,1,Male,96,3,4,Manager,2,Single,1746,8242,3,Y,No,22,3,3,80,0,8,6,3,12,4,0,2
57,No,Travel_Rarely,336,Research & Development,11,1,Medical,1,434,3,Male,100,2,2,Sales Representative,4,Single,18186,18580,1,Y,No,21,3,2,80,0,22,2,3,1,8,1,6
36,Yes,Travel_Rarely,329,Sales,29,4,Technical Degree,1,1543,2,Female,57,3,2,Sales Executive,4,Married,8786,9400,2,Y,Yes,15,3,4,80,0,12,6,3,5,10,2,2
22,No,Non-Travel,1253,Sales,5,3,Technical Degree,1,284,2,Female,40,4,2,Manufacturing Director,3,Divorced,2491,18536,7,Y,No,22,3,3,80,0,15,3,1,22,2,1,5
45,No,Travel_Rarely,754,Sales,10,3,Other,1,1668,4,Female,83,1,2,Manufacturing Director,1,Single,4917,12157,1,Y,No,21,3,2,80,0,39,1,2,10,0,13,3
28,No,Travel_Rarely,1346,Sales,1,4,Marketing,1,2008,3,Male,63,1,5,Research Scientist,1,Divorced,2240,25403,6,Y,No,17,3,1,80,0,32,3,4,3,2,2,9
31,No,Travel_Rarely,1413,Research & Development,1,3,Medical,1,944,2,Male,50,2,2,Laboratory Technician,2,Married,17361,17272,3,Y,Yes,14,3,4,80,1,6,2,2,6,5,2,7
29,No,Travel_Rarely,458,Sales,5,2,Life Sciences,1,157,1,Female,66,2,2,Sales Executive,4,Married,4290,8240,0,Y,No,13,4,3,80,0,1,4,3,10,2,4,2
41,No,Non-Travel,1100,Research & Development,3,2,Life Sciences,1,1122,4,Female,52,3,1,Human Resources,2,Married,19619,12409,2,Y,No,24,4,1,80,1,4,6,3,5,9,2,4
42,No,Travel_Rarely,1115,Research & Development,20,1,Life Sciences,1,1105,4,Male,100,3,2,Manufacturing Director,2,Married,18100,19412,1,Y,No,13,3,4,80,3,3,3,1,7,1,8,1
28,No,Non-Travel,1317,Research & Development,9,2,Medical,1,961,4,Male,67,3,5,Laboratory Technician,1,Single,2947,26999,4,Y,No,12,3,3,80,2,7,0,4,5,3,3,5
37,No,Travel_Rarely,1257,Sales,10,1,Life Sciences,1,2025,4,Female,67,3,3,Sales Executive,2,Single,5473,2094,1,Y,No,12,3,2,80,0,8,3,2,5,0,3,0
56,No,Travel_Rarely,1164,Research & Development,23,4,Medical,1,479,1,Male,88,3,5,Manufacturing Director,4,Single,9199,4902,0,Y,No,25,4,3,80,3,37,3,4,12,4,0,9
38,No,Travel_Rarely,616,Research & Development,3,5,Other,1,608,3,Male,87,2,3,Sales Representative,4,Single,19235,5481,6,Y,Yes,11,3,1,80,0,7,4,3,30,1,7,7
55,No,Non-Travel,647,Research & Development,16,3,Technical Degree,1,173,1,Female,49,3,2,Research Scientist,1,Single,17992,14539,0,Y,No,16,3,3,80,0,2,1,3,4,16,1,3
41,No,Travel_Frequently,182,Sales,28,4,Other,1,432,1,Female,56,3,1,Sales Executive,3,Divorced,3643,17524,3,Y,No,13,3,3,80,0,20,2,3,7,10,0,8
31,Yes,Travel_Rarely,1125,Research & Development,15,4,Life Sciences,1,940,1,Female,65,3,1,Healthcare Representative,1,Married,5393,23026,4,Y,Yes,13,3,4,80,3,9,5,4,8,2,1,2
38,No,Travel_Frequently,665,Research & Development,1,1,Life Sciences,1,562,4,Male,90,2,1,Research Scientist,4,Divorced,3313,22959,1,Y,No,20,3,1,80,1,10,3,4,15,3,0,3
29,No,Travel_Rarely,1407,Research & Development,9,4,Marketing,1,1042,1,Female,99,3,4,Sales Executive,2,Divorced,5579,9831,2,Y,No,25,3,2,80,1,21,4,3,5,0,0,6
36,No,Travel_Rarely,1312,Research & Development,11,1,Other,1,1638,4,Female,38,3,2,Laboratory Technician,4,Divorced,9797,8680,0,Y,Yes,18,3,4,80,2,26,4,3,1,3,1,2
18,Yes,Travel_Rarely,438,Research & Development,1,2,Medical,1,1593,1,Male,83,3,5,Research Director,4,Single,6277,24855,1,Y,Yes,21,3,3,80,0,4,2,3,3,0,2,0
23,No,Travel_Rarely,1390,Research & Development,4,3,Medical,1,1234,2,Female,95,3,1,Sales Executive,2,Married,7025,12364,5,Y,No,18,3,4,80,2,19,5,3,2,9,1,4
21,No,Travel_Rarely,911,Sales,1,1,Life Sciences,1,248,4,Male,33,3,3,Laboratory Technician,4,Single,3100,14132,3,Y,No,25,4,4,80,1,12,2,3,6,4,1,0
58,No,Travel_Rarely,1191,Sales,15,3,Medical,1,1599,4,Male,37,2,1,Healthcare Representative,3,Married,4032,21071,0,Y,No,12,3,4,80,1,27,4,3,3,0,6,2
51,No,Non-Travel,637,Human Resources,7,2,Marketing,1,964,1,Female,54,2,1,Laboratory Technician,2,Single,3251,26910,3,Y,No,11,3,4,80,1,6,4,2,2,8,0,3
54,No,Travel_Rarely,772,Research & Development,3,4,Other,1,75,4,Male,49,4,1,Sales Executive,1,Divorced,2499,8495,5,Y,Yes,11,3,2,80,1,23,3,3,4,0,0,2
48,No,Travel_Rarely,884,Research & Development,6,3,Other,1,929,1,Female,38,3,1,Manager,2,Divorced,3768,22916,7,Y,No,11,3,3,80,0,12,3,3,0,7,1,3
40,Yes,Travel_Rarely,690,Research & Development,21,2,Technical Degree,1,1841,2,Male,75,3,2,Healthcare Representative,3,Single,2279,21468,1,Y,Yes,11,3,4,80,1,3,2,3,0,7,1,10
40,No,Travel_Rarely,450,Research & Development,1,3,Medical,1,596,2,Female,50,3,1,Research Scientist,4,Single,5625,10966,4,Y,No,12,3,1,80,1,30,2,3,11,14,0,7
43,No,Travel_Rarely,944,Sales,13,4,Medical,1,1199,2,Male,94,3,2,Research Director,4,Divorced,2075,6044,3,Y,No,17,4,4,80,1,0,3,3,14,0,0,2
33,No,Travel_Rarely,1414,Sales,19,3,Life Sciences,1,2068,4,Male,70,4,2,Manager,3,Divorced,7935,4865,1,Y,No,13,3,2,80,1,19,3,4,25,1,2,1
34,Yes,Travel_Rarely,581,Sales,2,3,Life Sciences,1,840,1,Male,68,3,3,Sales Executive,3,Divorced,3496,13368,0,Y,Yes,16,3,1,80,0,14,1,3,3,1,10,1
31,No,Travel_Rarely,770,Research & Development,9,3,Medical,1,1088,4,Male,88,3,2,Manufacturing Director,4,Single,1262,21899,1,Y,No,20,3,2,80,1,8,3,2,9,1,4,0
48,No,Travel_Rarely,1457,Research & Development,16,2,Life Sciences,1,188,2,Female,98,3,3,Sales Executive,4,Single,19999,6548,8,Y,Yes,17,3,4,80,0,10,0,2,9,1,8,1
52,No,Travel_Frequently,917,Sales,19,1,Medical,1,1874,4,Male,72,3,2,Sales Executive,2,Married,2356,9139,1,Y,No,19,3,1,80,3,13,2,3,19,3,8,0
25,No,Travel_Rarely,820,Research & Development,6,3,Medical,1,2013,4,Male,58,3,1,Healthcare Representative,4,Married,4427,5198,2,Y,Yes,20,3,1,80,2,3,2,3,8,0,5,1
38,Yes,Travel_Rarely,1329,Sales,9,5,Other,1,1809,3,Male,42,2,2,Research Scientist,4,Single,3561,18459,1,Y,Yes,12,3,3,80,0,21,3,3,6,1,0,6
42,No,Travel_Rarely,1386,Research & Development,19,2,Life Sciences,1,195,2,Male,68,3,1,Healthcare Representative,4,Single,1519,22357,0,Y,No,12,3,3,80,0,17,2,3,19,9,0,2
26,No,Travel_Rarely,645,Research & Development,4,2,Life Sciences,1,828,3,Female,41,3,1,Manufacturing Director,2,Married,13682,6067,7,Y,No,14,3,4,80,0,35,3,4,25,6,1,8
38,No,Non-Travel,308,Research & Development,14,1,Life Sciences,1,442,2,Male,89,3,1,Research Director,4,Single,17771,13976,2,Y,No,12,3,3,80,1,13,3,3,0,9,1,0
32,No,Non-Travel,268,Research & Development,1,3,Other,1,746,4,Male,46,2,2,Sales Executive,2,Divorced,2417,13387,9,Y,No,21,4,4,80,0,7,2,3,4,2,8,0
44,No,Travel_Rarely,1212,Research & Development,2,4,Medical,1,442,3,Male,85,3,5,Research Scientist,1,Single,9415,2094,3,Y,Yes,25,4,3,80,0,11,3,4,21,0,10,7
31,Yes,Travel_Rarely,1332,Research & Development,29,2,Life Sciences,1,275,1,Female,74,2,3,Sales Executive,4,Single,1612,4316,2,Y,Yes,11,3,1,80,3,15,4,2,8,2,0,2
33,No,Travel_Rarely,1397,Sales,3,3,Medical,1,1461,2,Male,55,2,5,Sales Executive,1,Single,17931,14819,3,Y,No,15,3,2,80,1,22,4,2,6,0,8,5
20,No,Travel_Rarely,108,Research & Development,3,3,Life Sciences,1,1700,4,Female,71,3,1,Human Resources,4,Married,3158,17125,1,Y,No,22,3,3,80,2,1,2,3,9,4,0,0
28,No,Travel_Frequently,1158,Research & Development,1,3,Medical,1,147,1,Male,71,3,2,Manufacturing Director,4,Married,19093,17753,5,Y,No,12,3,2,80,0,10,3,3,3,2,1,7
44,No,Travel_Rarely,983,Research & Development,15,3,Medical,1,1708,1,Male,42,3,2,Healthcare Representative,3,Single,6532,16301,1,Y,No,14,3,2,80,0,10,2,3,8,8,0,10
58,No,Travel_Rarely,893,Sales,8,4,Medical,1,1859,4,Female,42,2,1,Laboratory Technician,2,Married,5180,3811,0,Y,No,15,3,3,80,1,9,4,3,24,11,7,8
34,No,Travel_Frequently,893,Research & Development,2,3,Life Sciences,1,374,2,Female,48,3,2,Sales Executive,3,Married,5765,2984,2,Y,No,18,3,4,80,2,8,5,2,5,3,0,2
51,No,Travel_Frequently,471,Sales,4,2,Life Sciences,1,1480,2,Male,61,2,1,Sales Executive,3,Married,19026,11758,1,Y,No,13,4,4,80,0,10,2,3,11,15,0,0
27,No,Non-Travel,544,Research & Development,3,4,Marketing,1,1171,4,Female,71,2,1,Research Scientist,4,Divorced,7653,23555,8,Y,Yes,16,3,1,80,0,0,2,3,6,1,4,6
56,Yes,Travel_Rarely,690,Research & Development,24,4,Other,1,208,4,Male,30,3,2,Manufacturing Director,2,Single,1009,21550,3,Y,Yes,14,3,3,80,0,3,3,3,3,1,2,3
39,No,Travel_Rarely,615,Research & Development,1,3,Life Sciences,1,743,3,Male,42,3,2,Sales Executive,1,Single,7268,12878,3,Y,No,14,3,2,80,1,5,1,3,10,0,0,1
33,No,Travel_Rarely,627,Research & Development,1,4,Other,1,9,4,Male,68,3,1,Sales Executive,4,Married,4226,8893,3,Y,No,13,3,1,80,1,17,3,3,4,0,1,3
44,No,Travel_Rarely,610,Sales,27,1,Medical,1,285,4,Male,33,2,4,Research Scientist,2,Single,2424,5593,5,Y,No,21,3,2,80,0,11,3,3,4,0,2,8
28,No,Travel_Rarely,658,Sales,1,5,Other,1,721,1,Female,82,3,1,Manufacturing Director,1,Single,5010,21199,3,Y,No,21,3,2,80,1,9,2,3,8,5,5,1
